"ListPrice","Bedrooms","TotalBaths","Style","Age","LotSize","SQFT","Taxes","IsFixerUpper","Elementary","JrHigh","High","Subdivision","City","County","Fireplace","FloodPlain"
199900,3,2,"1 Story",2,0.24,3262,548,"No","KENNEDY 321EL ","MADISON 321JH ","MADISON 321HS ","HENDERSON SUB","REXBURG","Madison","Yes","N"
295000,5,3,"1 Story",6,0.26,3320,2000,"No","ADAMS 321EL ","MADISON 321JH ","MADISON 321HS ","Hidden Valley","REXBURG","Madison","Yes","N"
275000,5,2,"3 Level",90,4.9,3003,1167,"No","HIBBARD 321EL ","MADISON 321JH ","MADISON 321HS ","NONE","REXBURG","Madison","No","N"
199000,5,2.5,"1 Story",24,2,2232,930,"No","CENTRAL 322EL ","SUGAR SALEM 322JH ","SUGAR SALEM 322HS ","NONE","REXBURG","Madison","Yes","N"
212900,4,3,"1 Story",5,0.09,2674,1129,"No","KENNEDY 321EL ","MADISON 321JH ","MADISON 321HS ","PARKSIDE","REXBURG","Madison","No","N"
359000,4,3,"1.5 Story",3,1,3370,2313,"No","HIBBARD 321EL ","MADISON 321JH ","MADISON 321HS ","SADDLE CREEK ESTATES","REXBURG","Madison","Yes","N"
289000,6,4,"1 Story",45,0.35,4322,2240,"No","LINCOLN 321EL ","MADISON 321JH ","MADISON 321HS ","RIGBY-MAD","REXBURG","Madison","Yes","N"
179000,3,2,"1 Story",6,0.23,1805,1108,"No","CENTRAL 215EL ","KERSHAW MIDDLE ","SUGAR SALEM 322HS ","PONDEROSA ESTATES","SUGAR CITY","Madison","No","N"
159900,5,2,"1 Story",32,0.24,2560,1291,"No","KENNEDY 321EL ","MADISON 321JH ","MADISON 321HS ","STARLITE ADDITION","REXBURG","Madison","Yes","N"
199000,7,4,"1 Story",33,0.33,4161,1193,"No","KENNEDY 321EL ","MADISON 321JH ","MADISON 321HS ","ORIGINAL TOWNSITE","REXBURG","Madison","Yes","U"
164900,4,2,"1 Story",42,0.2,1897,908,"No","LINCOLN 321EL ","MADISON 321JH ","MADISON 321HS ","POWELL ADD","REXBURG","Madison","Yes","N"
129900,2,2,"1 Story",20,0.09,1316,840,"No","KENNEDY 321EL ","MADISON 321JH ","MADISON 321HS ","GRANDVIEW ESTATES","REXBURG","Madison","No","N"
255900,3,3,"1 Story",3,0.24,3122,843,"No","KENNEDY 321EL ","MADISON 321JH ","MADISON 321HS ","HENDERSON SUB","REXBURG","Madison","Yes","N"
165000,3,2,"1 Story",1,0.2,1260,1,"No","KENNEDY 321EL ","MADISON 321JH ","MADISON 321HS ","NONE","REXBURG","Madison","No","N"
174500,5,2,"1 Story",70,0.17,2426,1032,"No","LINCOLN 321EL ","MADISON 321JH ","MADISON 321HS ","NONE","REXBURG","Madison","Yes","N"
235900,5,3,"1 Story",6,0.24,2820,1406,"No","KENNEDY 321EL ","MADISON 321JH ","MADISON 321HS ","HENDERSON SUB","REXBURG","Madison","No","N"
229000,5,3,"1 Story",4,0.72,2880,1132,"No","LYMAN 321EL ","MADISON 321JH ","MADISON 321HS ","CEDAR BUTTE","REXBURG","Madison","Yes","U"
499999,3,3,"1.5 Story",3,1,4936,3041,"No","ADAMS 321EL ","MADISON 321JH ","MADISON 321HS ","QUAIL HOLLOW","REXBURG","Madison","Yes","N"
539900,7,4,"1 Story",8,1,4956,3595,"No","ADAMS 321EL ","MADISON 321JH ","MADISON 321HS ","QUAIL HOLLOW","REXBURG","Madison","Yes","N"
239900,5,3,"3 Level",4,1,2993,1753,"No","SOUTH FORK ","MADISON 321JH ","MADISON 321HS ","BENSON ADDITION","REXBURG","Madison","Yes","U"
269900,4,3,"1 Story",4,0.2,3474,1505,"No","LINCOLN 321EL ","MADISON 321JH ","MADISON 321HS ","EAGLEWOOD","REXBURG","Madison","Yes","N"
280000,3,3,"1 Story",60,5,3032,1485,"No","CENTRAL 215EL ","SUGAR SALEM 322JH ","SUGAR SALEM 322HS ","MOODY ACRES","SUGAR CITY","Madison","No","N"
139900,4,1,"1 Story",50,4,2184,859,"No","SOUTH FORK ","MADISON 321JH ","MADISON 321HS ","NONE","REXBURG","Madison","No","N"
139900,3,1,"1 Story",32,0.17,1390,651,"No","CENTRAL 215EL ","SUGAR SALEM 322JH ","SUGAR SALEM 322HS ","RICKS-LANDON","SUGAR CITY","Madison","No","N"
195000,5,3,"3 Level",32,5.36,2882,1438,"No","CENTRAL 215EL ","SUGAR SALEM 322JH ","SUGAR SALEM 322HS ","FORT HENRY EST","REXBURG","Madison","No","U"
