"Reason","Details.for.Result.of.Query.with.No.Clicks","Count"
"Abstracts were Enough","Find out what the query is about by looking at the retrieved abstracts",12
"Checked for New Results","See if there’s a new page retrieved from the last time I issued the query",18
"Irrelevant Results","Displayed results seemed irrelevant",38
"Looked for Web Site","See if there’s a web site about my query ",8
"No Results","No results retrieved",9
"Results Seen Previously","I have already seen these results for the query",8
"Search Interrupted","Search was interrupted",6
"Spelling Error","Check spelling/syntax of query term(s)",17
