"Release.Date","Movie","Production.Budget","Worldwide.Gross"
"5/20/2011","Pirates of the Caribbean: On Stranger Tides",2.5e+08,1045663875
"5/6/2011","Thor",1.5e+08,449326618
"4/29/2011","Fast Five",1.25e+08,629969804
"3/11/2011","Mars Needs Moms",1.5e+08,39549758
"3/4/2011","Rango",1.35e+08,245504574
"1/14/2011","The Green Hornet",1.1e+08,229155503
"12/25/2010","Gulliver's Travels",1.12e+08,232017848
"12/22/2010","Little Fockers",1e+08,310650574
"12/17/2010","Tron: Legacy",2e+08,397562763
"12/17/2010","How Do You Know?",1.2e+08,49628177
"12/10/2010","The Chronicles of Narnia: The Voyage of the Dawn Treader",1.55e+08,418186950
"12/10/2010","The Tourist",1e+08,278731369
"11/24/2010","Tangled",2.6e+08,586581936
"11/19/2010","Harry Potter and the Deathly Hallows: Part I",1.25e+08,959301070
"11/5/2010","Megamind",1.3e+08,321887208
"8/6/2010","The Other Guys",1e+08,170936470
"7/23/2010","Salt",1.3e+08,290650494
"7/16/2010","Inception",1.6e+08,832584416
"7/14/2010","The Sorcerer's Apprentice",1.6e+08,217986320
"7/1/2010","The Last Airbender",1.5e+08,319542756
"6/23/2010","Knight and Day",1.17e+08,258751370
"6/18/2010","Toy Story 3",2e+08,1069818229
"6/11/2010","The A-Team",1.1e+08,177241171
"5/28/2010","Prince of Persia: Sands of Time",2e+08,314594597
"5/21/2010","Shrek Forever After",1.65e+08,755903876
"5/14/2010","Robin Hood",2.1e+08,322241588
"5/7/2010","Iron Man 2",1.7e+08,623256345
"4/1/2010","Clash of the Titans",1.25e+08,493214888
"3/26/2010","How to Train Your Dragon",1.65e+08,494870991
"3/5/2010","Alice in Wonderland",2e+08,1025491110
"2/12/2010","The Wolfman",1.5e+08,142424154
"12/18/2009","Avatar",4.25e+08,2783918982
"11/25/2009","The Princess and the Frog",1.05e+08,270997378
"11/13/2009","2012",2e+08,788408539
"11/6/2009","Disney's A Christmas Carol",1.9e+08,315709697
"10/16/2009","Where the Wild Things Are",1e+08,99123656
"9/18/2009","Cloudy with a Chance of Meatballs",1e+08,236827677
"8/7/2009","G.I. Joe: The Rise of Cobra",1.75e+08,302469017
"7/24/2009","G-Force",1.5e+08,292817841
"7/15/2009","Harry Potter and the Half-Blood Prince",2.5e+08,935083686
"7/1/2009","Public Enemies",102500000,212282709
"6/24/2009","Transformers: Revenge of the Fallen",2.1e+08,836519699
"6/12/2009","The Taking of Pelham 123",1.1e+08,152364370
"5/29/2009","Up",1.75e+08,731542621
"5/22/2009","Night at the Museum: Battle of the Smithsonian",1.5e+08,402231063
"5/21/2009","Terminator Salvation",2e+08,365491792
"5/15/2009","Angels & Demons",1.5e+08,490875846
"5/8/2009","Star Trek",1.4e+08,385680446
"5/1/2009","X-Men Origins: Wolverine",1.5e+08,374825760
"3/27/2009","Monsters vs. Aliens",1.75e+08,381687380
"3/6/2009","Watchmen",1.38e+08,184068357
"12/25/2008","The Curious Case of Benjamin Button",1.6e+08,329809326
"11/26/2008","Australia",1.3e+08,215080810
"11/21/2008","Bolt",1.5e+08,328015209
"11/14/2008","Quantum of Solace",2.3e+08,591692078
"11/7/2008","Madagascar: Escape 2 Africa",1.5e+08,599516844
"8/1/2008","The Mummy: Tomb of the Dragon Emperor",1.75e+08,405545959
"7/18/2008","The Dark Knight",1.85e+08,1002891358
"7/4/2008","Ast‚rix aux Jeux Olympiques",113500000,132999811
"7/1/2008","Hancock",1.5e+08,624234272
"6/27/2008","WALL-E",1.8e+08,532590994
"6/13/2008","The Incredible Hulk",137500000,263144885
"6/6/2008","Kung Fu Panda",1.3e+08,631910531
"5/22/2008","Indiana Jones and the Kingdom of the Crystal Skull",1.85e+08,786558145
"5/16/2008","The Chronicles of Narnia: Prince Caspian",2.25e+08,417341288
"5/9/2008","Speed Racer",1.2e+08,93394462
"5/2/2008","Iron Man",1.86e+08,582443126
"3/7/2008","10,000 B.C.",1.05e+08,269065678
"12/14/2007","I am Legend",1.5e+08,585532684
"12/1/2007","The Golden Compass",2.05e+08,367262558
"11/16/2007","Beowulf",1.5e+08,194995215
"11/2/2007","Bee Movie",1.5e+08,287594577
"11/2/2007","American Gangster",1e+08,267985456
"8/10/2007","Rush Hour 3",1.8e+08,256585882
"8/3/2007","The Bourne Ultimatum",1.3e+08,442161562
"7/11/2007","Harry Potter and the Order of the Phoenix",1.5e+08,942943935
"7/2/2007","Transformers",1.51e+08,708098205
"6/29/2007","Ratatouille",1.5e+08,626549695
"6/27/2007","Live Free or Die Hard",1.1e+08,382288147
"6/22/2007","Evan Almighty",1.75e+08,174131329
"6/15/2007","Fantastic Four: Rise of the Silver Surfer",1.2e+08,288215319
"5/24/2007","Pirates of the Caribbean: At World's End",3e+08,963420425
"5/17/2007","Shrek the Third",1.6e+08,805623351
"5/4/2007","Spider-Man 3",2.58e+08,890875303
"2/16/2007","Ghost Rider",1.2e+08,229545589
"12/22/2006","Night at the Museum",1.1e+08,581570293
"12/15/2006","Eragon",1e+08,249488115
"11/17/2006","Casino Royale",1.02e+08,594275385
"11/3/2006","Flushed Away",1.49e+08,179357126
"7/28/2006","Miami Vice",1.35e+08,163790188
"7/7/2006","Pirates of the Caribbean: Dead Man's Chest",2.25e+08,1066215812
"6/28/2006","Superman Returns",2.32e+08,374085065
"5/26/2006","X-Men: The Last Stand",2.1e+08,459359555
"5/19/2006","The Da Vinci Code",1.25e+08,767820459
"5/12/2006","Poseidon",1.6e+08,181674817
"5/5/2006","Mission: Impossible III",1.5e+08,397501348
"12/21/2005","Fun With Dick And Jane",1.4e+08,203018919
"12/14/2005","King Kong",2.07e+08,550517357
"12/9/2005","The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",1.8e+08,720539572
"11/18/2005","Harry Potter and the Goblet of Fire",1.5e+08,896911078
"7/29/2005","Stealth",1.38e+08,76004416
"7/22/2005","The Island",1.2e+08,163018913
"7/15/2005","Charlie and the Chocolate Factory",1.5e+08,475825484
"6/29/2005","War of the Worlds",1.32e+08,606836535
"6/15/2005","Batman Begins",1.5e+08,359142722
"6/15/2005","Batman Begins (IMAX)",1.5e+08,169698948
"6/10/2005","Mr. and Mrs. Smith",1.1e+08,486124090
"5/19/2005","Star Wars Ep. III: Revenge of the Sith",1.15e+08,848998877
"5/6/2005","Kingdom of Heaven",1.1e+08,218853353
"4/8/2005","Sahara",1.45e+08,121671925
"12/17/2004","The Aviator",1.1e+08,208370892
"12/17/2004","Lemony Snicket's A Series of Unfortunate Events",1e+08,212956024
"12/10/2004","Ocean's Twelve",1.1e+08,362989076
"11/24/2004","Alexander",1.55e+08,167297191
"11/19/2004","National Treasure",1e+08,331323410
"11/10/2004","The Polar Express",1.7e+08,319049659
"7/16/2004","I, Robot",1.05e+08,348623912
"6/30/2004","Spider-Man 2",2e+08,783705001
"6/16/2004","Around the World in 80 Days",1.1e+08,72004159
"6/11/2004","The Chronicles of Riddick",1.2e+08,107212751
"6/11/2004","The Stepford Wives",1e+08,96221971
"6/4/2004","Harry Potter and the Prisoner of Azkaban",1.3e+08,796688549
"5/28/2004","The Day After Tomorrow",1.25e+08,556319450
"5/14/2004","Troy",1.5e+08,484161265
"5/7/2004","Van Helsing",1.7e+08,300150546
"4/2/2004","Home on the Range",1.1e+08,76482461
"12/5/2003","The Last Samurai",1.4e+08,456810575
"11/21/2003","The Cat in the Hat",1.09e+08,133818283
"11/14/2003","Master and Commander: The Far Side of the World",1.35e+08,212912137
"11/5/2003","The Matrix Revolutions",1.5e+08,427289109
"7/18/2003","Bad Boys II",1.3e+08,272940870
"7/9/2003","Pirates of the Caribbean: The Curse of the Black Pearl",1.25e+08,634954103
"7/1/2003","Terminator 3: Rise of the Machines",1.7e+08,433058296
"6/27/2003","Charlie's Angels: Full Throttle",1.2e+08,227200000
"6/20/2003","Hulk",1.37e+08,245229234
"5/15/2003","The Matrix Reloaded",1.5e+08,738576929
"5/2/2003","X2",1.25e+08,407711549
"11/22/2002","Die Another Day",1.42e+08,431932247
"11/15/2002","Harry Potter and the Chamber of Secrets",1e+08,878979634
